,0,1,2,Label
8440,1,1,1,1
31147,1,1,1,1
21124,1,1,1,1
23863,0,0,0,0
712,0,0,0,0
9317,0,0,0,0
12004,0,1,1,0
30948,1,1,1,1
8625,1,1,1,1
4507,0,0,0,0
25845,1,1,1,1
13213,0,0,0,0
25588,1,1,1,1
22080,1,1,1,1
13721,0,0,0,0
434,1,1,1,1
8260,0,0,0,0
5533,0,0,0,0
8698,1,1,1,1
22811,1,0,0,0
27499,1,1,1,1
9240,1,1,1,1
12180,0,1,1,1
14606,0,0,0,0
16166,1,1,1,1
1691,1,0,1,1
8661,0,0,0,0
9461,0,0,0,0
24894,0,0,0,0
8717,1,1,1,0
24480,1,1,1,1
4189,0,0,0,0
17163,1,1,1,1
20175,1,1,1,0
16194,1,1,1,0
32512,0,0,0,0
22868,0,0,0,0
8325,0,0,0,0
22303,0,0,0,0
2686,1,1,1,1
30578,1,0,1,1
23686,1,0,1,1
4078,1,0,0,1
8702,0,0,0,0
28773,0,0,0,0
16264,1,1,1,1
11150,0,0,0,0
21862,1,1,1,1
26338,1,1,1,1
25730,0,0,0,0
14333,0,0,0,0
13795,1,1,1,1
2372,1,1,0,1
20335,1,1,1,1
31712,0,1,1,0
30010,1,1,1,1
15026,1,1,1,1
9124,0,0,1,1
31464,1,0,1,1
2899,1,1,1,1
223,1,1,1,1
4137,1,1,1,1
27685,0,0,0,0
24727,0,0,0,0
6480,0,1,1,0
26051,0,0,0,0
28849,1,1,1,1
29933,1,1,1,1
12957,0,0,1,0
10113,1,1,1,1
10669,0,0,0,0
8041,0,0,1,0
21751,1,1,1,1
27373,0,0,0,0
8016,0,0,1,0
29004,0,0,0,1
2812,0,0,0,0
12843,0,0,0,0
25909,0,0,0,0
19134,0,0,0,0
13853,1,1,1,1
23286,1,1,1,1
11944,0,0,0,0
878,1,1,1,1
27303,0,1,0,0
27213,1,1,1,1
7709,1,1,1,1
11626,0,0,0,0
9346,1,1,1,1
2767,0,0,0,0
32970,1,1,1,1
16351,0,0,0,0
17837,1,1,1,0
7640,1,0,1,1
3719,0,0,0,0
30502,1,1,0,0
16859,0,0,0,0
4662,0,0,0,0
15409,0,1,1,0
20646,1,1,1,1
2430,1,1,1,1
7023,0,1,0,0
15984,1,1,1,1
12099,1,1,1,1
25784,1,1,1,1
18475,0,0,0,0
13716,0,0,0,0
1451,0,0,0,0
17576,1,1,1,1
21938,1,1,1,1
17349,0,1,1,0
14912,1,1,1,1
33066,1,1,1,1
10643,1,1,1,1
27590,1,1,1,1
3652,0,0,0,0
6214,1,1,1,1
12371,0,0,0,0
9128,0,0,0,0
31211,1,1,0,1
16104,0,1,1,1
646,1,1,1,1
511,0,0,0,0
20936,0,0,0,0
18745,1,1,1,1
26036,0,0,0,0
1521,1,1,1,1
28721,1,1,1,1
22437,1,1,1,1
26217,1,1,1,1
13075,1,1,1,1
33552,0,0,0,0
11487,1,1,1,1
15206,0,0,0,0
11701,1,1,1,1
28856,0,0,0,0
26033,0,0,0,0
12693,1,1,1,1
24173,1,1,1,1
16286,1,1,1,1
22230,1,1,1,1
27810,0,0,0,0
6263,1,1,1,1
16583,1,1,1,1
10971,1,1,1,1
29928,1,1,1,1
27589,1,1,1,1
32063,0,0,1,1
18000,1,1,1,1
27331,1,1,1,1
14308,1,1,1,1
26024,1,1,1,1
30871,1,1,1,1
8262,1,0,1,1
30539,0,0,0,0
8941,0,0,0,0
24554,0,0,0,0
24148,0,0,0,0
5007,0,0,0,0
33038,0,0,0,0
24389,1,1,1,1
25580,1,1,1,1
27254,1,1,1,1
7487,1,1,1,1
16794,1,0,1,1
20200,0,0,0,0
14942,1,1,1,1
24067,0,0,0,0
555,0,0,0,0
25089,0,1,1,0
1412,1,1,1,1
25093,0,0,0,0
32387,0,0,0,0
17700,0,1,1,0
7001,1,0,1,1
8955,1,1,1,1
6279,0,0,0,0
22509,1,1,0,0
12552,1,1,1,1
4877,1,1,1,1
23210,0,0,0,0
29520,0,0,0,0
21187,0,0,0,0
6650,1,0,1,0
16714,1,1,1,1
18669,0,0,0,0
24,1,1,1,1
17973,0,0,0,0
29323,1,1,1,1
11346,0,0,0,0
3623,0,0,0,0
7901,1,1,1,1
28539,0,0,0,0
32154,1,1,1,1
24587,0,0,0,0
11320,1,1,0,0
17820,1,1,1,1
29370,0,0,0,0
20712,1,1,1,1
2225,0,0,0,0
17483,0,0,0,0
20768,1,1,1,1
31109,0,0,0,0
32706,0,0,0,0
32751,1,0,0,1
9371,0,0,0,0
4250,1,1,1,1
29629,1,1,1,1
23039,1,1,1,1
4973,1,1,1,1
7686,1,1,1,1
22270,0,0,0,0
538,1,1,1,1
6933,1,1,1,1
20520,1,1,1,1
8014,1,1,1,1
3766,1,1,1,1
1693,0,0,0,0
16623,1,1,1,1
11392,0,0,0,1
21874,0,0,0,0
3270,0,1,1,1
20826,0,0,0,0
16919,1,1,1,1
22951,1,1,1,1
5774,0,0,0,0
22515,0,0,0,0
10620,1,0,0,1
29014,0,0,0,0
31929,1,1,1,1
2246,0,0,0,0
16632,1,1,1,1
5486,1,1,1,1
5430,1,1,1,1
15472,0,0,0,0
19176,1,1,1,1
23572,1,1,1,1
17367,1,1,1,1
5992,0,0,0,0
15978,1,1,1,1
10411,0,0,0,0
24261,0,0,0,0
28618,0,0,0,0
25549,1,0,1,0
6294,0,0,0,0
16496,1,1,1,1
18231,0,1,1,0
16595,0,0,0,0
20334,0,0,0,0
12111,1,0,1,1
5090,1,1,1,1
4433,0,0,0,0
21380,1,1,1,1
6935,0,0,0,0
17230,0,0,0,0
127,0,0,0,0
3506,1,1,1,1
33129,1,0,0,1
4884,0,0,0,0
22380,1,1,0,1
32866,0,0,0,0
31229,1,1,1,1
13608,1,1,1,1
32968,1,1,1,1
22916,0,1,1,1
794,0,0,0,0
17803,1,1,1,1
6090,0,0,0,0
6370,0,0,0,1
22236,1,0,1,1
33161,1,1,1,1
21498,1,1,1,1
21405,0,0,0,0
27180,1,1,1,1
26844,0,1,0,1
16704,1,1,1,1
20809,0,0,0,0
29232,0,0,0,0
1177,0,0,0,0
28564,0,0,1,0
9899,1,1,1,1
19103,1,1,1,1
27846,0,0,0,0
30933,1,1,1,1
10106,1,1,1,1
27032,0,0,1,0
3059,0,0,1,0
16455,1,1,1,1
26609,1,1,1,1
29252,1,1,1,1
3417,1,1,1,1
3045,0,1,1,1
110,1,1,1,1
18071,1,1,1,1
33602,0,0,0,0
10374,0,0,0,0
22447,1,1,1,1
753,0,0,0,0
22530,1,1,1,1
10307,1,1,1,1
19074,0,0,0,0
5824,0,0,0,0
10207,1,1,1,1
25514,0,0,0,0
31927,1,1,1,1
12613,0,0,0,0
9684,0,0,0,0
25566,1,1,1,1
9615,1,0,1,1
29227,1,1,1,1
24079,0,0,0,0
12286,0,0,0,0
946,1,0,0,1
8647,1,1,1,1
10021,1,1,0,1
33294,0,0,0,0
19129,1,1,1,1
7359,0,0,0,0
18536,1,1,1,1
2559,0,0,0,0
15880,0,0,0,0
13635,0,0,0,1
32696,1,1,1,1
31061,1,0,0,1
4113,0,0,0,0
18427,1,0,1,1
27166,0,0,0,0
1194,1,1,1,1
30717,1,1,0,1
5783,1,1,1,1
22420,1,1,1,1
10065,1,1,1,1
15771,1,1,1,1
33604,1,1,1,1
1079,0,0,0,0
17953,0,0,1,0
17539,1,1,1,1
9454,1,1,1,1
28917,0,0,0,0
19903,1,1,1,1
9098,1,1,1,1
25833,0,1,1,0
17917,0,0,0,0
22826,0,0,0,0
30182,1,1,1,1
22872,0,1,1,0
28124,0,0,0,0
8593,0,0,0,0
15897,1,1,1,1
3928,1,1,0,1
22592,0,0,0,0
5875,0,0,0,0
18040,1,1,1,1
25802,1,1,1,1
15317,1,1,1,1
19360,0,0,0,0
29912,1,1,1,1
18966,0,0,1,0
26934,1,1,1,1
16918,0,0,0,0
28578,1,1,1,1
4082,1,1,1,1
26343,1,0,1,1
6663,1,1,1,1
19250,1,1,1,1
26868,0,0,1,0
2634,1,1,1,1
28408,0,0,0,0
13231,1,1,1,1
31253,0,0,0,0
31837,1,1,1,1
17311,1,1,1,1
27811,0,0,0,0
28139,1,1,1,1
21636,1,1,1,1
3344,0,0,1,0
20103,0,1,1,0
22932,0,0,0,0
3575,1,1,1,1
18560,1,1,1,1
33636,0,0,0,0
12739,1,1,1,1
1899,0,1,1,0
25795,0,0,0,0
30018,0,0,0,0
5035,1,1,1,1
26298,1,1,1,1
36,0,1,1,0
22569,1,1,1,1
4014,1,1,1,1
18208,0,0,0,0
32403,1,1,1,1
12769,1,1,1,1
21682,0,1,1,0
13763,0,0,0,0
5876,1,1,1,1
32737,0,1,1,0
20785,1,1,1,1
16552,0,0,0,0
24005,1,1,1,1
29774,0,0,0,0
6786,1,1,1,1
16789,1,1,1,1
1954,1,1,1,1
30840,0,0,0,0
1803,0,0,1,0
29319,1,1,1,1
14743,1,1,1,1
396,0,0,0,0
6235,0,0,0,0
3272,0,0,0,0
21672,1,1,1,0
31806,0,0,0,0
25136,1,1,1,1
22765,0,0,0,1
23279,0,1,0,0
16698,0,0,0,0
14532,1,1,1,0
5578,0,0,0,0
32756,1,1,1,1
24966,0,0,0,0
27224,1,1,1,1
18063,0,0,0,0
24739,1,1,1,1
3690,1,1,1,1
30706,0,0,0,0
10040,1,1,1,1
20255,0,0,0,0
26719,0,1,1,0
21125,1,1,1,1
2190,1,1,1,1
4004,0,0,0,0
20009,1,1,1,1
14396,0,1,1,0
7716,0,0,0,0
23723,1,1,0,1
16073,1,1,1,1
16691,0,0,0,0
24693,1,1,1,1
33018,1,1,1,1
33544,1,1,1,1
27922,0,0,0,0
18222,1,1,1,1
15293,1,0,0,1
29592,0,1,1,0
5213,0,0,0,0
21805,0,0,0,0
4540,1,1,1,1
5364,0,0,0,0
24501,0,0,0,0
20273,1,1,1,1
18032,1,1,1,1
7275,0,0,0,0
32804,0,0,0,0
28861,1,0,1,1
29849,1,1,1,1
5793,1,1,0,1
4543,0,0,0,0
23583,0,0,0,0
13028,1,0,1,0
18675,1,1,1,1
4846,0,0,0,0
26373,1,0,1,1
14465,0,1,1,1
17933,0,0,0,0
15417,1,1,1,1
20886,1,1,1,1
9160,1,1,1,1
23439,0,0,0,0
6690,1,1,1,1
13820,0,0,0,0
7411,1,1,1,1
22073,0,0,0,0
11758,1,1,1,1
1221,0,0,0,0
4807,1,1,1,1
12690,0,0,0,0
18467,0,0,0,0
29358,1,1,0,1
15667,0,0,1,0
14551,1,1,1,1
28599,0,0,0,0
14363,1,1,1,1
9320,1,0,1,1
31609,0,0,0,0
14436,0,0,0,0
12128,1,1,1,1
18972,0,0,1,0
24084,0,0,0,0
12976,1,1,1,1
21262,1,1,1,1
6277,0,0,0,0
28008,0,0,0,0
28134,1,1,1,1
2873,1,1,1,1
6354,0,0,0,0
31372,1,1,1,1
12707,1,1,1,0
24817,1,0,1,1
249,0,0,0,0
8347,1,1,1,1
22732,0,0,1,0
26099,1,1,1,1
1070,1,1,1,1
7269,1,1,1,1
17441,1,1,1,1
29964,0,0,0,0
2162,1,1,1,1
15863,1,1,1,1
7483,0,0,1,0
33404,0,0,0,0
27,0,0,0,0
12880,0,0,0,0
23421,1,1,1,1
18968,0,0,0,0
29607,0,0,0,0
28511,1,1,1,0
28252,1,1,1,1
8943,1,1,1,1
26682,1,1,1,1
11948,1,1,1,1
14609,0,0,0,0
2176,1,1,1,1
1739,1,1,1,1
12308,1,1,1,1
790,0,1,1,0
25238,1,1,1,1
20401,1,1,1,1
1072,1,1,1,1
13230,0,0,0,0
7200,1,1,1,1
5040,0,0,0,0
27063,0,0,0,0
29942,1,1,1,1
26481,0,0,0,0
19804,1,1,1,1
32434,1,1,1,1
23014,1,1,1,1
29705,0,1,1,0
25589,0,0,0,0
28455,1,1,1,1
24770,0,0,0,0
4809,1,1,1,1
5470,0,1,0,1
24837,1,0,0,1
24099,0,0,0,0
13643,1,1,1,1
19486,0,0,0,0
12348,0,0,0,0
7408,0,1,1,0
19951,0,0,0,0
30215,0,0,0,0
14715,0,1,1,0
27736,1,1,1,1
27130,1,0,0,1
25292,1,1,1,1
27877,1,1,1,1
18490,0,0,0,0
28337,1,1,1,1
20805,1,1,1,1
13749,0,1,1,0
4897,1,1,1,1
6116,0,0,0,0
13819,0,0,0,0
1781,0,0,0,0
23979,0,0,0,0
14977,0,0,1,0
9880,1,1,1,1
5752,1,1,1,1
26736,1,1,1,1
28007,1,1,1,1
3092,0,0,0,0
26524,1,1,1,1
7907,0,1,1,0
6243,1,1,1,1
624,0,0,0,0
154,1,1,1,0
14274,1,1,1,1
33436,0,0,1,0
4856,1,1,1,1
11904,0,0,0,0
25475,0,0,0,0
8843,1,1,1,1
21975,1,1,0,0
14391,1,0,1,0
7513,1,1,1,1
28994,0,0,0,0
30361,0,0,0,0
27002,1,1,1,1
3204,0,0,0,0
2950,0,0,0,0
14998,1,0,1,1
16153,1,1,1,1
3775,1,0,0,1
10486,0,0,0,0
4234,0,0,0,0
13788,0,0,0,0
20080,1,1,1,1
22847,0,0,0,0
21625,0,0,0,0
25668,0,0,0,0
18323,1,1,1,1
26670,0,0,0,0
20466,0,0,0,0
19389,0,1,1,0
13703,1,1,1,1
31699,1,1,1,1
2330,0,1,1,0
29930,1,1,1,1
22766,1,1,1,1
4891,1,0,0,1
19602,0,1,1,0
30050,1,0,1,1
32966,1,1,1,0
15861,1,1,1,1
30486,0,0,0,0
5828,0,0,0,0
473,1,1,1,1
23503,0,0,0,0
5103,1,1,1,0
27064,1,1,0,1
10614,1,1,1,1
28931,0,0,0,0
3172,0,0,1,0
28679,1,1,1,1
4223,0,0,0,0
30014,0,0,0,0
4450,0,0,0,0
18446,0,0,0,0
17866,1,1,1,1
1187,0,0,0,0
5302,1,1,1,1
2678,0,0,0,0
28146,1,0,0,1
23366,0,0,0,0
21785,1,0,1,1
13947,0,0,0,0
9457,0,0,0,0
26307,1,1,1,1
33709,1,1,1,1
11679,1,1,1,1
4294,1,1,1,1
25262,1,1,1,0
4312,0,0,0,0
9902,0,0,0,0
17990,1,1,1,1
30397,1,1,1,1
24546,1,1,1,1
22338,1,0,1,1
30664,0,0,0,0
3364,0,0,0,0
3834,1,1,1,1
14033,0,0,0,0
11602,0,1,0,0
29050,0,0,0,0
20411,0,0,0,0
24619,0,1,0,1
17763,1,1,1,1
3544,1,1,1,1
5332,0,0,0,0
7324,1,1,1,1
22687,0,0,1,0
33432,0,0,0,0
18636,0,0,0,0
21250,0,0,0,0
3356,0,1,0,1
29364,1,1,1,1
3700,1,1,1,1
703,0,0,0,0
2105,0,1,1,0
7259,1,1,1,1
9629,1,1,1,1
13397,1,1,1,1
6821,0,0,0,0
28843,0,1,1,0
4760,0,0,0,0
19997,0,0,0,0
1674,0,1,1,0
21383,1,1,1,1
26533,0,0,0,0
2661,1,1,1,1
21573,0,0,1,0
6208,1,1,1,1
13730,1,1,1,1
16507,0,1,0,0
7345,1,1,1,1
30595,1,1,1,0
30511,1,1,1,1
24326,0,0,0,0
24046,0,1,1,0
31038,0,0,0,0
6262,1,0,1,1
4616,0,0,0,0
28251,1,1,0,0
8878,0,0,0,0
9397,0,0,0,0
33298,0,0,0,0
27908,0,0,0,0
30789,1,1,1,1
33205,0,0,0,0
6572,1,1,1,1
7582,0,0,0,0
6132,1,1,1,1
29640,1,1,1,1
2712,1,1,1,1
3240,0,0,0,0
33120,1,1,1,1
6745,1,1,1,1
2765,1,1,1,1
11643,0,0,0,0
607,0,1,1,0
16223,0,0,1,0
18704,0,0,0,0
11154,1,1,1,1
6631,1,1,1,1
31468,1,0,1,1
30345,1,1,1,1
29113,1,1,1,1
33284,1,1,1,1
28648,0,0,0,0
22192,1,1,1,1
21722,1,1,1,1
19443,0,0,1,0
17659,1,1,1,1
14487,0,0,0,0
11049,0,0,0,0
6533,0,1,1,1
20233,0,1,1,0
2593,0,1,0,0
1714,1,1,1,1
26236,0,0,1,0
9960,1,1,1,1
16573,0,0,0,0
4466,0,0,0,0
21351,0,0,0,0
31414,0,1,1,0
24672,0,0,0,0
27826,0,1,0,0
25636,1,0,0,1
23338,1,1,1,1
14866,1,1,1,1
6948,0,0,0,1
4054,0,0,0,0
4861,1,1,1,1
29431,0,0,0,0
28052,1,1,1,1
11588,1,1,1,1
15722,1,1,1,1
31673,0,0,0,0
31466,1,1,1,1
19097,0,0,0,0
10957,0,1,1,0
32716,0,0,0,0
16278,0,0,0,0
7958,1,0,1,1
32267,1,1,1,1
22296,1,0,1,1
25945,1,1,1,1
8182,1,1,1,1
23091,1,0,0,1
7708,1,1,1,1
2889,1,1,1,1
13349,0,0,0,0
1862,0,0,0,0
19215,1,1,1,1
6050,1,1,1,1
7134,0,0,0,0
25224,1,1,1,1
2349,1,1,1,1
20632,1,1,1,1
21477,0,0,0,0
2200,1,1,1,1
9255,0,0,0,0
27521,1,1,1,1
14828,0,1,0,0
16445,0,0,0,0
10749,0,0,0,0
18348,1,1,1,1
28245,0,0,0,0
4886,1,1,1,1
7746,1,1,1,1
29321,1,1,1,1
16981,1,1,1,1
29863,0,0,0,0
24270,0,0,0,0
32757,0,0,0,0
19712,1,1,1,1
12870,0,0,0,0
18992,0,0,1,0
22555,0,0,0,0
22793,0,0,0,0
24241,0,0,0,0
13583,0,0,0,0
25705,1,1,1,1
24041,0,1,1,0
30865,0,0,0,0
5108,1,1,1,0
13166,1,1,1,1
32825,1,1,1,1
18418,1,1,1,1
26195,1,1,1,1
14012,1,1,1,1
5891,1,1,1,1
10659,0,0,0,0
15974,1,1,1,1
1225,1,1,1,1
19511,0,0,0,0
15338,1,1,1,1
8528,1,1,1,1
30643,0,0,0,0
20614,1,1,1,1
29957,1,1,1,1
31497,0,0,0,0
28026,0,0,0,0
21986,1,1,1,1
14701,0,0,0,0
7731,0,0,0,0
18407,1,0,1,1
13535,0,0,0,0
21854,1,1,1,1
19498,0,0,0,0
24526,1,1,1,1
22011,1,1,1,1
22388,1,1,1,1
1630,1,1,1,1
6546,1,1,1,1
386,1,1,1,1
25550,1,1,1,1
16969,0,0,0,0
30484,0,0,0,0
28239,0,1,1,0
9689,1,1,1,1
5199,1,1,1,1
11848,1,1,1,1
22315,1,1,1,1
13379,0,0,0,0
17099,1,1,1,1
31507,0,0,0,0
7858,1,0,0,1
3259,0,0,0,0
8031,0,0,0,0
3492,0,0,1,0
7033,1,1,1,1
19029,1,1,1,1
17492,0,0,0,0
1392,0,0,0,0
28034,0,0,0,0
15812,1,1,1,1
33383,0,0,0,0
28157,0,0,0,0
1400,0,0,0,0
21613,1,1,1,1
4745,0,0,0,0
28162,1,1,1,1
9238,1,1,1,1
28662,1,1,0,1
4892,1,1,1,1
18674,1,0,0,1
19864,1,1,1,1
31443,1,1,1,1
7995,0,0,0,0
18106,1,0,0,1
12068,0,0,0,0
1374,1,1,1,1
26962,0,0,0,0
8693,0,0,0,0
16561,0,0,0,0
21149,0,0,0,0
2440,1,1,1,1
18541,1,1,1,1
32437,0,0,0,0
22193,0,0,0,0
21845,1,1,1,1
10162,0,1,1,0
7163,1,1,1,1
6016,1,1,1,1
17385,0,0,0,0
9414,0,0,0,0
14630,1,1,1,1
17351,1,1,1,1
31399,0,0,0,0
32872,1,1,1,1
23163,0,0,0,0
9319,0,0,0,0
10015,1,0,1,0
29734,1,1,1,1
25982,1,1,1,1
11473,0,0,0,0
4367,0,0,0,0
14737,0,1,1,0
4697,0,0,0,0
23054,1,1,1,1
25379,1,1,1,1
21628,0,0,0,0
4620,0,1,1,0
13865,1,1,1,1
32719,0,0,0,0
18343,1,1,1,1
831,1,1,1,1
30181,0,0,0,0
4316,1,1,1,1
9410,0,0,0,0
12347,0,0,0,0
6598,0,0,0,0
14839,1,1,1,1
24918,0,0,0,0
5608,0,1,1,0
27605,1,1,1,1
33106,1,1,1,1
9608,0,0,0,0
2567,0,0,0,0
20621,1,0,1,1
19676,1,1,1,1
14969,0,0,0,0
13365,1,0,1,1
17397,1,1,1,1
7756,1,1,1,1
31841,1,1,0,1
2418,1,1,1,1
10897,1,1,1,1
15540,0,1,1,1
14733,0,0,0,0
3208,0,0,0,0
27001,0,0,0,0
18823,1,1,1,1
5240,1,1,1,1
27754,0,0,0,0
23886,1,1,1,1
32450,0,1,1,0
28636,1,1,1,0
24424,1,1,1,1
25735,1,1,1,1
29703,1,1,1,1
24400,0,0,0,0
13507,1,1,1,1
16352,1,1,1,1
1313,1,1,1,1
22367,1,1,1,1
5174,1,0,1,1
14230,0,0,0,0
5068,1,1,1,1
1338,1,1,1,1
4023,1,1,1,1
22999,1,1,1,1
31905,0,0,0,0
32339,1,1,1,1
21932,0,1,1,0
33624,1,1,1,1
11820,0,0,0,0
6446,1,1,1,1
28374,0,0,0,0
28446,0,0,0,0
20245,1,1,1,1
2086,0,0,0,0
13308,0,0,0,0
5160,1,1,1,1
10443,0,0,0,0
89,0,0,0,0
30930,1,1,1,1
19434,1,1,1,1
6037,0,0,0,0
14437,1,1,1,1
14941,0,0,0,0
31364,1,1,1,1
22863,1,0,0,1
3106,0,0,0,0
22595,0,0,0,0
16813,0,0,0,0
23161,0,0,0,0
15332,1,1,1,1
7551,0,0,0,0
33319,1,1,1,1
17611,1,1,1,1
8623,0,0,0,0
22824,0,0,0,0
28090,1,1,1,1
12913,0,0,0,0
15584,0,0,0,0
27428,0,0,0,0
32228,1,1,1,1
20935,1,1,1,1
30862,0,0,0,0
23318,0,0,0,0
23562,1,1,1,1
9220,0,0,0,0
14460,1,1,1,1
13520,1,1,1,1
23623,1,1,1,1
31595,0,0,0,0
566,1,1,1,1
1779,0,0,0,0
5219,1,1,1,1
928,1,1,1,1
29664,1,1,1,1
10913,1,1,1,1
1297,0,1,1,0
23119,1,1,1,1
26497,1,1,1,1
17977,1,1,1,1
5974,0,0,0,0
17110,0,0,0,0
18744,0,0,0,0
5194,0,0,0,0
14864,1,1,1,1
12441,0,0,0,0
15847,1,1,1,1
20474,0,0,0,0
12026,0,0,0,0
19632,1,0,1,1
11770,1,1,1,1
5228,1,1,1,1
7997,0,0,0,0
8825,0,0,0,0
24646,0,0,0,0
28542,1,1,1,1
15014,0,0,0,0
18936,0,0,0,0
2142,0,0,0,0
27939,0,0,1,0
7792,1,1,1,1
8567,1,1,1,1
23611,0,1,1,1
18933,1,1,1,1
31086,0,0,0,0
26463,0,0,1,0
4833,1,1,1,1
1607,1,1,1,1
7136,1,1,1,1
558,0,0,0,0
32582,1,1,1,1
22036,0,0,0,0
25251,1,1,1,1
13868,1,1,1,1
10313,1,1,1,1
25756,1,1,1,1
20188,0,0,0,0
11355,1,1,1,1
30358,1,1,1,1
5449,1,1,1,1
30202,1,1,1,1
13030,1,0,1,1
3801,0,0,0,0
8786,0,0,0,0
26973,0,1,1,0
4451,1,1,1,1
29331,0,0,0,0
32895,0,0,0,0
45,1,1,1,1
24395,0,0,0,0
12107,1,1,1,1
20250,0,0,0,0
10603,0,0,0,0
22316,1,1,1,1
15946,1,1,1,1
22537,0,0,0,0
21323,0,0,0,0
15956,0,0,0,0
6274,0,0,0,0
33239,1,1,1,1
6619,1,1,1,1
30472,1,1,1,1
